age,gender,year,speciality,medsub,surgsub,Empathyscore,EntryYrintoUCCmed,Hpat1IntoUCCmed,Hpat2IntoUCCmed,Hpat3IntoUCCmed,HPATIntoUCCmed
2,1,3,13,0,0,134,2012,64,61,95,220
1,1,3,3,2,1,117,2012,64,59,61,183
1,2,3,20,0,1,108,2012,62,61,73,196
1,2,3,19,11,8,127,2012,58,70,61,189
1,2,3,4,7,0,116,2012,50,74,68,192
1,2,3,13,5,3,119,2012,61,70,63,194
1,2,3,4,1,3,106,2012,67,56,70,194
1,2,3,20,0,1,104,2012,61,61,63,185
1,2,3,13,0,0,120,2012,62,64,70,196
2,1,3,4,0,0,108,2012,61,59,65,184
2,2,3,13,0,0,96,2012,62,61,81,204
2,2,3,20,0,5,107,2012,69,64,76,210
1,2,3,13,0,0,123,2012,52,64,65,182
1,2,3,5,1,3,111,2012,62,59,63,184
1,2,2,3,0,0,130,2013,72,54,65,192
1,1,3,23,0,0,98,2012,69,61,61,191
1,2,3,23,11,8,108,2012,58,52,73,183
1,2,3,20,0,3,113,2012,58,59,59,175
1,2,3,23,11,8,125,2012,68,76,64,207
1,2,3,23,11,8,131,2012,54,64,73,191
1,1,3,3,7,5,84,2012,76,56,86,219
1,2,3,4,0,0,125,2012,65,70,51,187
1,2,3,4,0,0,122,2012,59,59,63,181
2,2,2,8,0,0,98,2013,54,58,87,200
1,2,3,1,13,8,107,2012,74,50,86,210
2,1,3,3,0,0,125,2012,62,40,81,183
1,1,3,20,0,2,102,2012,65,56,63,185
2,1,3,23,11,8,123,2012,64,68,66,198
1,2,2,23,0,0,100,2013,62,54,53,169
1,2,3,3,0,0,122,2012,64,54,65,183
1,2,3,20,0,2,107,2012,56,52,73,181
1,2,3,4,0,0,112,2012,61,59,76,196
1,1,3,23,11,8,103,2012,65,64,57,186
1,2,3,3,7,0,114,2012,55,70,70,196
1,1,2,3,0,0,113,2013,77,61,60,198
1,1,2,23,0,1,115,2013,56,63,78,197
1,1,3,23,0,0,112,2012,76,70,68,214
2,2,3,23,11,5,113,2012,61,50,73,184
1,1,3,20,1,1,104,2012,56,64,65,186
2,1,3,5,1,1,115,2012,67,61,68,196
3,1,3,5,1,0,100,2012,56,59,76,191
1,2,2,4,0,0,118,2013,57,65,75,197
1,1,2,4,0,0,104,2013,72,61,70,202
1,1,2,23,0,0,106,2013,66,52,75,193
1,2,2,20,0,8,59,2013,60,56,68,184
1,1,2,23,0,0,110,2013,61,45,78,184
1,1,2,17,0,0,112,2013,80,56,72,209
1,1,2,23,11,8,115,2013,72,54,78,204
1,2,2,20,0,5,96,2013,57,52,60,170
1,2,2,23,0,0,120,2013,60,63,68,190
1,2,2,8,0,0,121,2013,57,68,68,193
1,1,2,5,6,0,103,2013,61,58,78,198
1,2,2,13,0,0,122,2013,65,63,75,202
1,2,2,23,0,0,115,2013,70,52,70,192
1,1,2,14,0,0,111,2013,77,58,62,197
1,2,2,23,11,8,110,2013,68,61,65,194
1,1,2,23,11,8,117,2013,62,61,70,193
1,1,2,0,0,0,128,2013,72,65,78,215
1,2,2,13,1,1,122,2013,65,50,72,187
1,2,2,13,2,7,133,2013,65,54,78,197
1,1,2,20,11,8,114,2013,70,50,70,190
1,2,2,13,5,5,123,2013,54,52,75,182
1,1,2,23,0,0,112,2013,59,50,78,187
1,2,2,23,0,0,114,2013,70,52,75,197
1,2,2,23,11,8,98,2013,59,65,64,187
1,1,2,23,0,0,109,2013,74,45,87,206
1,1,2,11,0,0,109,2013,70,54,78,202
1,2,2,23,0,0,131,2013,56,61,64,180
1,1,2,23,0,0,125,2013,70,49,70,188
1,2,2,23,0,0,105,2013,61,65,72,199
1,1,2,20,1,1,117,2013,66,54,62,182
1,1,2,5,1,0,95,2013,65,56,72,193
1,1,2,23,0,0,117,2013,59,56,82,197
1,2,2,23,0,0,117,2013,59,56,75,190
1,1,2,20,0,3,131,2013,72,54,65,192
